id,day_of_week_x,index_x,available_x,max_nights_x,min_nights_x,available_for_checkin_x,available_for_checkout_x,bookable_x,day_of_week_y,index_y,available_y,max_nights_y,min_nights_y,available_for_checkin_y,available_for_checkout_y,bookable_y,available_delta_pct,available_for_checkin_delta_pct,available_for_checkout_delta_pct,bookable_delta_pct,zipcode,City,Metro,CountyName,State
11384046,0,41.07894737,0.5,1125,3,0.25,0,0.25,0,20.07894737,0.25,1125,3,0.25,0.118421053,0.25,-25,0,11.84210526,0,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,0,41.07894737,0.5,1125,3,0.25,0,0.25,1,21.07894737,0.25,1125,3,0,0.25,0.25,-25,-25,25,0,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,0,41.07894737,0.5,1125,3,0.25,0,0.25,2,22.07894737,0.25,1125,3,0,0.25,0.25,-25,-25,25,0,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,0,41.07894737,0.5,1125,3,0.25,0,0.25,3,23.07894737,0.157894737,1125,3,0,0.25,0,-34.21052632,-25,25,-25,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,0,41.07894737,0.5,1125,3,0.25,0,0.25,4,17.07894737,0.289473684,1125,3,0.118421053,0,0.118421053,-21.05263158,-13.15789474,0,-13.15789474,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,0,41.07894737,0.5,1125,3,0.25,0,0.25,5,18.07894737,0.118421053,1125,3,0,0.118421053,0.118421053,-38.15789474,-25,11.84210526,-13.15789474,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,0,41.07894737,0.5,1125,3,0.25,0,0.25,6,19.07894737,0.118421053,1125,3,0,0.118421053,0.118421053,-38.15789474,-25,11.84210526,-13.15789474,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,1,42.07894737,0.5,1125,3,0,0.25,0.25,0,20.07894737,0.25,1125,3,0.25,0.118421053,0.25,-25,25,-13.15789474,0,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,1,42.07894737,0.5,1125,3,0,0.25,0.25,1,21.07894737,0.25,1125,3,0,0.25,0.25,-25,0,0,0,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,1,42.07894737,0.5,1125,3,0,0.25,0.25,2,22.07894737,0.25,1125,3,0,0.25,0.25,-25,0,0,0,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,1,42.07894737,0.5,1125,3,0,0.25,0.25,3,23.07894737,0.157894737,1125,3,0,0.25,0,-34.21052632,0,0,-25,4064,Old Orchard Beach,Portland-South Portland,York County,ME
