RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,4/30/2022
84654,1,60657,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,1666911
61637,2,10023,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,10063900
91982,3,77494,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,669679
84616,4,60614,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2111084
91940,5,77449,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,336799
91733,7,77084,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,355576
93144,8,79936,Zip,TX,TX,El Paso,El Paso,El Paso County,363572
84640,9,60640,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,1347127
62037,10,11226,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1825218
61807,11,10467,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,752731
92593,12,78660,Zip,TX,TX,Pflugerville,Austin-Round Rock,Travis County,680809
97564,13,94109,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,7738770
74101,16,37013,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,466408
84646,18,60647,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,994245
62012,19,11201,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,5351009
62045,20,11235,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1249353
62087,21,11375,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,2000693
96107,22,90250,Zip,CA,CA,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles County,1163728
92271,23,78130,Zip,TX,TX,New Braunfels,San Antonio-New Braunfels,Comal County,430105
74242,24,37211,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,615850
92036,27,77573,Zip,TX,TX,League City,Houston-The Woodlands-Sugar Land,Galveston County,518762
84620,28,60618,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,1223071
92045,29,77584,Zip,TX,TX,Pearland,Houston-The Woodlands-Sugar Land,Brazoria County,490360
61625,30,10011,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,8988071
66126,31,20002,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,1201322
61703,32,10128,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,7782469
69816,33,28269,Zip,NC,NC,Charlotte,Charlotte-Concord-Gastonia,Mecklenburg County,510515
92551,34,78613,Zip,TX,TX,Cedar Park,Austin-Round Rock,Williamson County,988950
91926,35,77433,Zip,TX,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,644843
92515,36,78572,Zip,TX,TX,Mission,McAllen-Edinburg-Mission,Hidalgo County,408158
71067,37,30349,Zip,GA,GA,Riverdale,Atlanta-Sandy Springs-Roswell,Clayton County,417789
93123,38,79912,Zip,TX,TX,El Paso,El Paso,El Paso County,527234
90654,39,75052,Zip,TX,TX,Grand Prairie,Dallas-Fort Worth-Arlington,Dallas County,480162
97771,40,94565,Zip,CA,CA,Pittsburg,San Francisco-Oakland-Hayward,Contra Costa County,977401
74126,41,37042,Zip,TN,TN,Clarksville,Clarksville,Montgomery County,353216
62017,42,11206,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1502482
89925,43,73099,Zip,OK,OK,Yukon,Oklahoma City,Canadian County,378868
96027,44,90046,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,4302824
66133,45,20009,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,1867181
91922,46,77429,Zip,TX,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,517546
92341,47,78245,Zip,TX,TX,San Antonio,San Antonio-New Braunfels,Bexar County,344939
91968,48,77479,Zip,TX,TX,Sugar Land,Houston-The Woodlands-Sugar Land,Fort Bend County,711962
84615,51,60613,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,1571467
70829,52,30044,Zip,GA,GA,Lawrenceville,Atlanta-Sandy Springs-Roswell,Gwinnett County,471521
86026,54,63376,Zip,MO,MO,Saint Peters,St. Louis,Saint Charles County,398048
69823,56,28277,Zip,NC,NC,Charlotte,Charlotte-Concord-Gastonia,Mecklenburg County,825410
84627,57,60625,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,995995
70828,58,30043,Zip,GA,GA,Lawrenceville,Atlanta-Sandy Springs-Roswell,Gwinnett County,505345
62040,59,11230,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1701136
62023,60,11212,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,892139
91685,61,77036,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,307179
61803,62,10463,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1179741
84630,63,60629,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,263409
62020,64,11209,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1656728
70874,65,30096,Zip,GA,GA,Duluth,Atlanta-Sandy Springs-Roswell,Gwinnett County,610849
62032,66,11221,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1444775
60545,67,7030,Zip,NJ,NJ,Hoboken,New York-Newark-Jersey City,Hudson County,2257491
99534,68,98052,Zip,WA,WA,Redmond,Seattle-Tacoma-Bellevue,King County,2069854
70810,69,30024,Zip,GA,GA,Suwanee,Atlanta-Sandy Springs-Roswell,Gwinnett County,750756
84612,70,60610,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2351093
92617,71,78704,Zip,TX,TX,Austin,Austin-Round Rock,Travis County,2286703
91726,72,77077,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,791881
94748,73,85032,Zip,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County,783190
91889,74,77379,Zip,TX,TX,Spring,Houston-The Woodlands-Sugar Land,Harris County,492056
