RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,4/30/2022
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,739673
84654,1,60657,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,231499
61637,2,10023,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,838077
84616,4,60614,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,259986
61616,6,10002,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,712376
91733,7,77084,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,107323
93144,8,79936,Zip,TX,TX,El Paso,El Paso,El Paso County,171836
84640,9,60640,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,172561
62037,10,11226,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,445239
61807,11,10467,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,208324
97564,13,94109,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,897417
61630,15,10016,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,805769
74101,16,37013,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,232271
71831,17,32162,Zip,FL,FL,The Villages,The Villages,Sumter County,214926
84646,18,60647,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,300260
62012,19,11201,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,751403
62045,20,11235,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,303476
62087,21,11375,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,332803
96107,22,90250,Zip,CA,CA,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles County,695773
92271,23,78130,Zip,TX,TX,New Braunfels,San Antonio-New Braunfels,Comal County,315599
74242,24,37211,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,172813
61643,25,10029,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,589513
61623,26,10009,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,754217
92036,27,77573,Zip,TX,TX,League City,Houston-The Woodlands-Sugar Land,Galveston County,156597
84620,28,60618,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,234630
92045,29,77584,Zip,TX,TX,Pearland,Houston-The Woodlands-Sugar Land,Brazoria County,529181
61625,30,10011,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1015550
66126,31,20002,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,435795
61703,32,10128,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,672512
92515,36,78572,Zip,TX,TX,Mission,McAllen-Edinburg-Mission,Hidalgo County,66361
71067,37,30349,Zip,GA,GA,Riverdale,Atlanta-Sandy Springs-Roswell,Clayton County,184039
93123,38,79912,Zip,TX,TX,El Paso,El Paso,El Paso County,111889
62017,42,11206,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,705298
96027,44,90046,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,663085
66133,45,20009,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,457235
91922,46,77429,Zip,TX,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,360007
91968,48,77479,Zip,TX,TX,Sugar Land,Houston-The Woodlands-Sugar Land,Fort Bend County,284955
61802,49,10462,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,185986
84615,51,60613,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,192900
61633,53,10019,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,951767
86026,54,63376,Zip,MO,MO,Saint Peters,St. Louis,Saint Charles County,134387
61617,55,10003,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1000081
84627,57,60625,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,159193
62040,59,11230,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,319650
91685,61,77036,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,70005
61803,62,10463,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,236361
84630,63,60629,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,182947
62020,64,11209,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,348431
62032,66,11221,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,565231
60545,67,7030,Zip,NJ,NJ,Hoboken,New York-Newark-Jersey City,Hudson County,530805
99534,68,98052,Zip,WA,WA,Redmond,Seattle-Tacoma-Bellevue,King County,408293
84612,70,60610,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,248215
92617,71,78704,Zip,TX,TX,Austin,Austin-Round Rock,Travis County,478409
91726,72,77077,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,116042
94748,73,85032,Zip,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County,298285
90823,75,75287,Zip,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,187748
61638,76,10024,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,775838
92598,77,78666,Zip,TX,TX,San Marcos,Austin-Round Rock,Hays County,243018
72463,79,33160,Zip,FL,FL,Sunny Isles Beach,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,229950
73221,81,34787,Zip,FL,FL,Winter Garden,Orlando-Kissimmee-Sanford,Orange County,187534
92481,82,78521,Zip,TX,TX,Brownsville,Brownsville-Harlingen,Cameron County,91417
61148,83,8701,Zip,NJ,NJ,Lakewood Township,New York-Newark-Jersey City,Ocean County,116171
90795,84,75243,Zip,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,124792
62025,85,11214,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,319453
69672,86,28027,Zip,NC,NC,Concord,Charlotte-Concord-Gastonia,Cabarrus County,209853
62018,87,11207,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,327297
97711,88,94501,Zip,CA,CA,Alameda,San Francisco-Oakland-Hayward,Alameda County,573903
58669,89,2169,Zip,MA,MA,Quincy,Boston-Cambridge-Newton,Norfolk County,340624
72578,90,33411,Zip,FL,FL,Royal Palm Beach,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,112654
62039,91,11229,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,262637
84621,92,60619,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,101980
92654,93,78745,Zip,TX,TX,Austin,Austin-Round Rock,Travis County,416317
97565,94,94110,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1100386
67730,95,23462,Zip,VA,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News,Virginia Beach City,162041
72363,96,33025,Zip,FL,FL,Miramar,Miami-Fort Lauderdale-West Palm Beach,Broward County,196203
61798,97,10458,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,177154
