RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,4/30/2022
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,2055659
84654,1,60657,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,667302
61637,2,10023,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,3269403
91982,3,77494,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,368307
84616,4,60614,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,769450
91940,5,77449,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,255588
61616,6,10002,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1647940
91733,7,77084,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,248012
93144,8,79936,Zip,TX,TX,El Paso,El Paso,El Paso County,178519
84640,9,60640,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,472791
62037,10,11226,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,879631
61807,11,10467,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,555451
92593,12,78660,Zip,TX,TX,Pflugerville,Austin-Round Rock,Travis County,464460
97564,13,94109,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,2226593
61630,15,10016,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,2642431
74101,16,37013,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,362318
71831,17,32162,Zip,FL,FL,The Villages,The Villages,Sumter County,411870
84646,18,60647,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,559635
62012,19,11201,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,2227690
62045,20,11235,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,786460
62087,21,11375,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,971661
96107,22,90250,Zip,CA,CA,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles County,886028
92271,23,78130,Zip,TX,TX,New Braunfels,San Antonio-New Braunfels,Comal County,343965
74242,24,37211,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,429150
61643,25,10029,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1769888
61623,26,10009,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1507670
92036,27,77573,Zip,TX,TX,League City,Houston-The Woodlands-Sugar Land,Galveston County,313191
84620,28,60618,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,551192
92045,29,77584,Zip,TX,TX,Pearland,Houston-The Woodlands-Sugar Land,Brazoria County,305021
61625,30,10011,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,3548787
66126,31,20002,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,871287
61703,32,10128,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,2455928
69816,33,28269,Zip,NC,NC,Charlotte,Charlotte-Concord-Gastonia,Mecklenburg County,338665
92551,34,78613,Zip,TX,TX,Cedar Park,Austin-Round Rock,Williamson County,519688
91926,35,77433,Zip,TX,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,301989
92515,36,78572,Zip,TX,TX,Mission,McAllen-Edinburg-Mission,Hidalgo County,164800
71067,37,30349,Zip,GA,GA,Riverdale,Atlanta-Sandy Springs-Roswell,Clayton County,232784
93123,38,79912,Zip,TX,TX,El Paso,El Paso,El Paso County,233403
90654,39,75052,Zip,TX,TX,Grand Prairie,Dallas-Fort Worth-Arlington,Dallas County,313500
97771,40,94565,Zip,CA,CA,Pittsburg,San Francisco-Oakland-Hayward,Contra Costa County,612960
74126,41,37042,Zip,TN,TN,Clarksville,Clarksville,Montgomery County,239232
62017,42,11206,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1123982
89925,43,73099,Zip,OK,OK,Yukon,Oklahoma City,Canadian County,217469
96027,44,90046,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2193127
66133,45,20009,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,1145043
91922,46,77429,Zip,TX,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,300083
92341,47,78245,Zip,TX,TX,San Antonio,San Antonio-New Braunfels,Bexar County,255760
91968,48,77479,Zip,TX,TX,Sugar Land,Houston-The Woodlands-Sugar Land,Fort Bend County,360131
61802,49,10462,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,529832
61796,50,10456,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,478752
84615,51,60613,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,568936
70829,52,30044,Zip,GA,GA,Lawrenceville,Atlanta-Sandy Springs-Roswell,Gwinnett County,329709
61633,53,10019,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,3667110
86026,54,63376,Zip,MO,MO,Saint Peters,St. Louis,Saint Charles County,282974
61617,55,10003,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,3525839
69823,56,28277,Zip,NC,NC,Charlotte,Charlotte-Concord-Gastonia,Mecklenburg County,436136
84627,57,60625,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,494681
70828,58,30043,Zip,GA,GA,Lawrenceville,Atlanta-Sandy Springs-Roswell,Gwinnett County,357646
62040,59,11230,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,976203
62023,60,11212,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,567527
91685,61,77036,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,263859
61803,62,10463,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,639013
84630,63,60629,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,259378
62020,64,11209,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1196745
70874,65,30096,Zip,GA,GA,Duluth,Atlanta-Sandy Springs-Roswell,Gwinnett County,357458
62032,66,11221,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1187967
60545,67,7030,Zip,NJ,NJ,Hoboken,New York-Newark-Jersey City,Hudson County,1293512
99534,68,98052,Zip,WA,WA,Redmond,Seattle-Tacoma-Bellevue,King County,1349851
70810,69,30024,Zip,GA,GA,Suwanee,Atlanta-Sandy Springs-Roswell,Gwinnett County,453984
84612,70,60610,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,870838
92617,71,78704,Zip,TX,TX,Austin,Austin-Round Rock,Travis County,1222869
91726,72,77077,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,350460
94748,73,85032,Zip,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County,456242
91889,74,77379,Zip,TX,TX,Spring,Houston-The Woodlands-Sugar Land,Harris County,276812
90823,75,75287,Zip,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,428825
61638,76,10024,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,2706762
92598,77,78666,Zip,TX,TX,San Marcos,Austin-Round Rock,Hays County,391005
66843,78,21234,Zip,MD,MD,Parkville,Baltimore-Columbia-Towson,Baltimore County,259683
72463,79,33160,Zip,FL,FL,Sunny Isles Beach,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1271113
67732,80,23464,Zip,VA,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News,Virginia Beach City,317126
73221,81,34787,Zip,FL,FL,Winter Garden,Orlando-Kissimmee-Sanford,Orange County,433778
92481,82,78521,Zip,TX,TX,Brownsville,Brownsville-Harlingen,Cameron County,153590
61148,83,8701,Zip,NJ,NJ,Lakewood Township,New York-Newark-Jersey City,Ocean County,517672
90795,84,75243,Zip,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,378847
62025,85,11214,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,778991
69672,86,28027,Zip,NC,NC,Concord,Charlotte-Concord-Gastonia,Cabarrus County,342182
62018,87,11207,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,585899
97711,88,94501,Zip,CA,CA,Alameda,San Francisco-Oakland-Hayward,Alameda County,1532823
58669,89,2169,Zip,MA,MA,Quincy,Boston-Cambridge-Newton,Norfolk County,640603
72578,90,33411,Zip,FL,FL,Royal Palm Beach,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,462471
62039,91,11229,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,834072
84621,92,60619,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,214929
92654,93,78745,Zip,TX,TX,Austin,Austin-Round Rock,Travis County,613776
97565,94,94110,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1861348
67730,95,23462,Zip,VA,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News,Virginia Beach City,275996
72363,96,33025,Zip,FL,FL,Miramar,Miami-Fort Lauderdale-West Palm Beach,Broward County,433150
90665,98,75067,Zip,TX,TX,Lewisville,Dallas-Fort Worth-Arlington,Denton County,367631
96015,99,90034,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,1754734
93263,100,80134,Zip,CO,CO,Parker,Denver-Aurora-Lakewood,Douglas County,679758
72442,101,33139,Zip,FL,FL,Miami Beach,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,2344655
84613,102,60611,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,1294463
98325,103,95630,Zip,CA,CA,Folsom,Sacramento--Roseville--Arden-Arcade,Sacramento County,713355
79054,104,48197,Zip,MI,MI,Ypsilanti,Ann Arbor,Washtenaw County,301973
77007,105,44107,Zip,OH,OH,Lakewood,Cleveland-Elyria,Cuyahoga County,280819
87074,106,66062,Zip,KS,KS,Olathe,Kansas City,Johnson County,320655
62022,107,11211,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1555589
76953,108,44035,Zip,OH,OH,Elyria,Cleveland-Elyria,Lorain County,152206
94870,109,85281,Zip,AZ,AZ,Tempe,Phoenix-Mesa-Scottsdale,Maricopa County,432999
62088,110,11377,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,873022
96239,112,90805,Zip,CA,CA,Long Beach,Los Angeles-Long Beach-Anaheim,Los Angeles County,700947
60639,113,7302,Zip,NJ,NJ,Jersey City,New York-Newark-Jersey City,Hudson County,1217552
96193,114,90650,Zip,CA,CA,Norwalk,Los Angeles-Long Beach-Anaheim,Los Angeles County,698568
96025,115,90044,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,670827
95048,116,85710,Zip,AZ,AZ,Tucson,Tucson,Pima County,299052
96990,117,92683,Zip,CA,CA,Westminster,Los Angeles-Long Beach-Anaheim,Orange County,951184
94820,118,85225,Zip,AZ,AZ,Chandler,Phoenix-Mesa-Scottsdale,Maricopa County,448115
62044,119,11234,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,711265
71005,120,30281,Zip,GA,GA,Stockbridge,Atlanta-Sandy Springs-Roswell,Henry County,262769
74156,121,37075,Zip,TN,TN,Hendersonville,Nashville-Davidson--Murfreesboro--Franklin,Sumner County,422156
62067,122,11355,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,956360
62048,123,11238,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1601377
92576,124,78641,Zip,TX,TX,Leander,Austin-Round Rock,Williamson County,480973
61790,125,10314,Zip,NY,NY,New York,New York-Newark-Jersey City,Richmond County,659787
65810,126,19143,Zip,PA,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,156455
93146,127,79938,Zip,TX,TX,El Paso,El Paso,El Paso County,202295
96467,128,91709,Zip,CA,CA,Chino Hills,Riverside-San Bernardino-Ontario,San Bernardino County,801366
62026,129,11215,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1800562
84619,131,60617,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,187107
95309,132,87114,Zip,NM,NM,Albuquerque,Albuquerque,Bernalillo County,313532
71864,133,32210,Zip,FL,FL,Jacksonville,Jacksonville,Duval County,229325
76511,134,43081,Zip,OH,OH,Westerville,Columbus,Franklin County,315565
97764,135,94558,Zip,CA,CA,Napa,Napa,Napa County,875601
96007,136,90026,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,1370482
91221,137,76063,Zip,TX,TX,Mansfield,Dallas-Fort Worth-Arlington,Tarrant County,358944
91950,138,77459,Zip,TX,TX,Missouri City,Houston-The Woodlands-Sugar Land,Fort Bend County,313435
96545,139,91910,Zip,CA,CA,Chula Vista,San Diego-Carlsbad,San Diego County,774316
69431,140,27587,Zip,NC,NC,Wake Forest,Raleigh,Wake County,424364
70825,141,30040,Zip,GA,GA,Cumming,Atlanta-Sandy Springs-Roswell,Forsyth County,423557
97431,142,93722,Zip,CA,CA,Fresno,Fresno,Fresno County,369766
99142,142,97229,Zip,OR,OR,Portland,Portland-Vancouver-Hillsboro,Multnomah County,667867
60081,144,6010,Zip,CT,CT,Bristol,Hartford-West Hartford-East Hartford,Hartford County,270983
65133,145,17603,Zip,PA,PA,Lancaster Township,Lancaster,Lancaster County,251276
91198,146,76028,Zip,TX,TX,Burleson,Dallas-Fort Worth-Arlington,Johnson County,312584
72901,147,33908,Zip,FL,FL,Fort Myers,Cape Coral-Fort Myers,Lee County,490373
76534,148,43123,Zip,OH,OH,Grove City,Columbus,Franklin County,278694
90657,149,75056,Zip,TX,TX,The Colony,Dallas-Fort Worth-Arlington,Denton County,386299
95804,150,89108,Zip,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,363162
94890,151,85308,Zip,AZ,AZ,Glendale,Phoenix-Mesa-Scottsdale,Maricopa County,442555
92520,152,78577,Zip,TX,TX,Pharr,McAllen-Edinburg-Mission,Hidalgo County,148753
92336,153,78240,Zip,TX,TX,San Antonio,San Antonio-New Braunfels,Bexar County,277939
97740,154,94533,Zip,CA,CA,Fairfield,Vallejo-Fairfield,Solano County,534762
95306,155,87111,Zip,NM,NM,Albuquerque,Albuquerque,Bernalillo County,368433
63776,156,14850,Zip,NY,NY,Town Of Ithaca,Ithaca,Tompkins County,314907
72362,158,33024,Zip,FL,FL,Pembroke Pines,Miami-Fort Lauderdale-West Palm Beach,Broward County,440310
99500,159,98012,Zip,WA,WA,Bothell,Seattle-Tacoma-Bellevue,Snohomish County,910068
79040,160,48180,Zip,MI,MI,Taylor,Detroit-Warren-Dearborn,Wayne County,160922
92125,161,77845,Zip,TX,TX,College Station,College Station-Bryan,Brazos County,274448
71038,162,30318,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,372861
76971,163,44060,Zip,OH,OH,Mentor,Cleveland-Elyria,Lake County,221762
94940,164,85364,Zip,AZ,AZ,Yuma,Yuma,Yuma County,232095
98304,165,95608,Zip,CA,CA,Carmichael,Sacramento--Roseville--Arden-Arcade,Sacramento County,566839
76491,166,43055,Zip,OH,OH,Newark,Columbus,Licking County,207157
62093,167,11385,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,762252
72737,168,33647,Zip,FL,FL,Tampa,Tampa-St. Petersburg-Clearwater,Hillsborough County,392223
96987,169,92677,Zip,CA,CA,Laguna Niguel,Los Angeles-Long Beach-Anaheim,Orange County,1198991
77094,170,44256,Zip,OH,OH,Medina,Cleveland-Elyria,Medina County,284148
58660,171,2148,Zip,MA,MA,Malden,Boston-Cambridge-Newton,Middlesex County,646841
64180,172,15601,Zip,PA,PA,Greensburg,Pittsburgh,Westmoreland County,222025
93203,173,80013,Zip,CO,CO,Aurora,Denver-Aurora-Lakewood,Arapahoe County,538347
96047,174,90066,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,1832598
66705,175,20906,Zip,MD,MD,Silver Spring,Washington-Arlington-Alexandria,Montgomery County,430576
78823,176,47906,Zip,IN,IN,West Lafayette,Lafayette-West Lafayette,Tippecanoe County,274870
87019,177,65807,Zip,MO,MO,Springfield,Springfield,Greene County,203762
60499,178,6902,Zip,CT,CT,Stamford,Bridgeport-Stamford-Norwalk,Fairfield County,607585
77400,179,45011,Zip,OH,OH,Hamilton,Cincinnati,Butler County,270636
70953,180,30188,Zip,GA,GA,Woodstock,Atlanta-Sandy Springs-Roswell,Cherokee County,369172
96817,181,92336,Zip,CA,CA,Fontana,Riverside-San Bernardino-Ontario,San Bernardino County,612766
100179,182,99301,Zip,WA,WA,Pasco,Kennewick-Richland,Franklin County,390452
62085,184,11373,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,857601
86717,185,65203,Zip,MO,MO,Columbia,Columbia,Boone County,283582
69699,186,28078,Zip,NC,NC,Huntersville,Charlotte-Concord-Gastonia,Mecklenburg County,411113
84622,187,60620,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,217049
78085,188,46307,Zip,IN,IN,Crown Point,Chicago-Naperville-Elgin,Lake County,310811
98432,189,95823,Zip,CA,CA,Sacramento,Sacramento--Roseville--Arden-Arcade,Sacramento County,449463
96825,190,92345,Zip,CA,CA,Hesperia,Riverside-San Bernardino-Ontario,San Bernardino County,402210
69450,191,27610,Zip,NC,NC,Raleigh,Raleigh,Wake County,321632
73014,192,34135,Zip,FL,FL,Bonita Springs,Cape Coral-Fort Myers,Lee County,583110
95314,193,87120,Zip,NM,NM,Albuquerque,Albuquerque,Bernalillo County,294359
69340,194,27410,Zip,NC,NC,Greensboro,Greensboro-High Point,Guilford County,303478
90638,195,75035,Zip,TX,TX,Frisco,Dallas-Fort Worth-Arlington,Collin County,470842
99563,196,98103,Zip,WA,WA,Seattle,Seattle-Tacoma-Bellevue,King County,1090668
91941,197,77450,Zip,TX,TX,Cinco Ranch,Houston-The Woodlands-Sugar Land,Fort Bend County,284231
98411,198,95747,Zip,CA,CA,Roseville,Sacramento--Roseville--Arden-Arcade,Placer County,662058
95817,199,89121,Zip,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,366084
69336,200,27406,Zip,NC,NC,Greensboro,Greensboro-High Point,Guilford County,196569
97023,201,92804,Zip,CA,CA,Anaheim,Los Angeles-Long Beach-Anaheim,Orange County,880520
61169,202,8753,Zip,NJ,NJ,Toms River,New York-Newark-Jersey City,Ocean County,408645
90780,203,75228,Zip,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,297920
96667,204,92126,Zip,CA,CA,San Diego,San Diego-Carlsbad,San Diego County,956437
61642,205,10028,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,2450984
84635,206,60634,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,366521
66135,207,20011,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,796822
76539,208,43130,Zip,OH,OH,Lancaster,Columbus,Fairfield County,227853
91325,209,76244,Zip,TX,TX,Fort Worth,Dallas-Fort Worth-Arlington,Tarrant County,367647
96882,210,92503,Zip,CA,CA,Riverside,Riverside-San Bernardino-Ontario,Riverside County,590878
96546,211,91911,Zip,CA,CA,Chula Vista,San Diego-Carlsbad,San Diego County,721970
70698,212,29732,Zip,SC,SC,Rock Hill,Charlotte-Concord-Gastonia,York County,308471
71871,213,32218,Zip,FL,FL,Jacksonville,Jacksonville,Duval County,267492
67180,214,22191,Zip,VA,VA,Woodbridge,Washington-Arlington-Alexandria,Prince William County,418300
69849,215,28314,Zip,NC,NC,Fayetteville,Fayetteville,Cumberland County,168828
71902,216,32256,Zip,FL,FL,Jacksonville,Jacksonville,Duval County,319241
62043,217,11233,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,901559
67655,218,23320,Zip,VA,VA,Chesapeake,Virginia Beach-Norfolk-Newport News,Chesapeake City,300405
75696,219,40475,Zip,KY,KY,Richmond,Richmond-Berea,Madison County,240495
67010,220,21740,Zip,MD,MD,Hagerstown,Hagerstown-Martinsburg,Washington County,236530
96643,221,92101,Zip,CA,CA,San Diego,San Diego-Carlsbad,San Diego County,1321630
96000,222,90019,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,1510790
73183,223,34711,Zip,FL,FL,Clermont,Orlando-Kissimmee-Sanford,Lake County,393953
70835,224,30052,Zip,GA,GA,Loganville,Atlanta-Sandy Springs-Roswell,Gwinnett County,335047
74815,225,38401,Zip,TN,TN,Columbia,Nashville-Davidson--Murfreesboro--Franklin,Maury County,356419
91744,226,77095,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,281162
60518,227,7002,Zip,NJ,NJ,Bayonne,New York-Newark-Jersey City,Hudson County,457539
70826,228,30041,Zip,GA,GA,Cumming,Atlanta-Sandy Springs-Roswell,Forsyth County,455524
84285,229,60016,Zip,IL,IL,Des Plaines,Chicago-Naperville-Elgin,Cook County,336740
72347,230,33009,Zip,FL,FL,Hallandale,Miami-Fort Lauderdale-West Palm Beach,Broward County,523354
97743,231,94536,Zip,CA,CA,Fremont,San Francisco-Oakland-Hayward,Alameda County,1499150
95785,232,89052,Zip,NV,NV,Henderson,Las Vegas-Henderson-Paradise,Clark County,576622
90226,233,74012,Zip,OK,OK,Broken Arrow,Tulsa,Tulsa County,209041
61797,234,10457,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,546952
93490,235,80634,Zip,CO,CO,Greeley,Greeley,Weld County,463526
76471,236,43026,Zip,OH,OH,Hilliard,Columbus,Franklin County,320908
96934,237,92592,Zip,CA,CA,Temecula,Riverside-San Bernardino-Ontario,Riverside County,672762
76597,238,43230,Zip,OH,OH,Gahanna,Columbus,Franklin County,294954
95813,239,89117,Zip,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,477562
70859,240,30080,Zip,GA,GA,Smyrna,Atlanta-Sandy Springs-Roswell,Cobb County,437451
66125,241,20001,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,927397
69533,242,27834,Zip,NC,NC,Greenville,Greenville,Pitt County,175252
96125,243,90280,Zip,CA,CA,South Gate,Los Angeles-Long Beach-Anaheim,Los Angeles County,636828
70294,244,29072,Zip,SC,SC,Lexington,Columbia,Lexington County,279055
78042,245,46227,Zip,IN,IN,Indianapolis,Indianapolis-Carmel-Anderson,Marion County,229972
71895,246,32244,Zip,FL,FL,Jacksonville,Jacksonville,Duval County,267727
66785,247,21117,Zip,MD,MD,Owings Mills,Baltimore-Columbia-Towson,Baltimore County,317240
61641,248,10027,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1232870
65779,249,19111,Zip,PA,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,252948
96083,250,90201,Zip,CA,CA,Bell,Los Angeles-Long Beach-Anaheim,Los Angeles County,624862
96477,251,91730,Zip,CA,CA,Rancho Cucamonga,Riverside-San Bernardino-Ontario,San Bernardino County,658613
78975,252,48103,Zip,MI,MI,Ann Arbor,Ann Arbor,Washtenaw County,445904
62046,253,11236,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,645452
90759,254,75206,Zip,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,733275
95985,255,90004,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,1626518
74185,256,37128,Zip,TN,TN,Murfreesboro,Nashville-Davidson--Murfreesboro--Franklin,Rutherford County,382936
96651,257,92109,Zip,CA,CA,San Diego,San Diego-Carlsbad,San Diego County,1688299
70842,258,30062,Zip,GA,GA,Marietta,Atlanta-Sandy Springs-Roswell,Cobb County,425400
84629,259,60628,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,184910
60599,260,7093,Zip,NJ,NJ,West New York,New York-Newark-Jersey City,Hudson County,669396
72247,261,32822,Zip,FL,FL,Orlando,Orlando-Kissimmee-Sanford,Orange County,307929
71050,262,30331,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,248972
90769,263,75217,Zip,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,221670
58743,264,2360,Zip,MA,MA,Plymouth,Boston-Cambridge-Newton,Plymouth County,548925
73233,265,34953,Zip,FL,FL,Port Saint Lucie,Port St. Lucie,Saint Lucie County,372567
74187,266,37130,Zip,TN,TN,Murfreesboro,Nashville-Davidson--Murfreesboro--Franklin,Rutherford County,327402
72488,267,33186,Zip,FL,FL,The Crossings,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,458346
58666,268,2155,Zip,MA,MA,Medford,Boston-Cambridge-Newton,Middlesex County,808442
61895,269,10701,Zip,NY,NY,Yonkers,New York-Newark-Jersey City,Westchester County,622653
72350,270,33012,Zip,FL,FL,Hialeah,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,461361
96368,271,91342,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,743692
96208,272,90706,Zip,CA,CA,Bellflower,Los Angeles-Long Beach-Anaheim,Los Angeles County,733182
96816,273,92335,Zip,CA,CA,Fontana,Riverside-San Bernardino-Ontario,San Bernardino County,532119
97991,274,95123,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1440035
96590,275,92021,Zip,CA,CA,El Cajon,San Diego-Carlsbad,San Diego County,757423
71837,276,32174,Zip,FL,FL,Ormond Beach,Deltona-Daytona Beach-Ormond Beach,Volusia County,381835
67222,277,22304,Zip,VA,VA,Alexandria,Washington-Arlington-Alexandria,Alexandria City,651022
95315,278,87121,Zip,NM,NM,Albuquerque,Albuquerque,Bernalillo County,240359
62084,279,11372,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,828278
