RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,4/30/2022
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1280137
84654,1,60657,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,440231
61637,2,10023,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1867209
91982,3,77494,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,363439
84616,4,60614,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,493544
91940,5,77449,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,186908
61616,6,10002,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1103428
91733,7,77084,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,181718
93144,8,79936,Zip,TX,TX,El Paso,El Paso,El Paso County,142762
84640,9,60640,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,331121
62037,10,11226,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,715391
61807,11,10467,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,285781
92593,12,78660,Zip,TX,TX,Pflugerville,Austin-Round Rock,Travis County,368798
97564,13,94109,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1467288
61630,15,10016,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1463108
74101,16,37013,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,260980
71831,17,32162,Zip,FL,FL,The Villages,The Villages,Sumter County,299743
84646,18,60647,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,419086
62012,19,11201,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1347926
62045,20,11235,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,520714
62087,21,11375,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,490720
96107,22,90250,Zip,CA,CA,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles County,826275
92271,23,78130,Zip,TX,TX,New Braunfels,San Antonio-New Braunfels,Comal County,344091
